FID	IID	Phenotype_1
HG00096	HG00096	0.26823383670061546
HG00097	HG00097	0.3569258076371705
HG00099	HG00099	0.19248004469720706
HG00100	HG00100	0.05206056270682191
HG00101	HG00101	0.36494154812826124
HG00102	HG00102	0.12367924892436057
HG00103	HG00103	0.49746558794601015
HG00105	HG00105	0.36552745735054915
HG00106	HG00106	0.3014030143827457
HG00107	HG00107	0.6322655997266152
HG00108	HG00108	0.5235316073227914
HG00109	HG00109	0.5414378755370055
HG00110	HG00110	0.6197458363232463
HG00111	HG00111	0.6498615718518117
HG00112	HG00112	0.4558388979433041
HG00113	HG00113	0.40554693967446
HG00114	HG00114	0.545741363746504
HG00115	HG00115	0.4892564223584639
HG00116	HG00116	0.2837251594651564
HG00117	HG00117	0.479410566665943
HG00118	HG00118	0.32635036298060194
HG00119	HG00119	0.5663486413038956
HG00120	HG00120	0.3757359574945647
HG00121	HG00121	0.5293256269948978
HG00122	HG00122	0.3488711139493102
HG00123	HG00123	0.600083459920416
HG00125	HG00125	0.5791302939603014
HG00126	HG00126	0.6528393355415719
HG00127	HG00127	0.6131774651760524
HG00128	HG00128	0.3746047286457352
HG00129	HG00129	0.3101323306086482
HG00130	HG00130	0.5973921264181815
HG00131	HG00131	0.5068515944007307
HG00132	HG00132	0.5591631614450494
HG00133	HG00133	0.4669741844607216
HG00136	HG00136	0.20220623847902705
HG00137	HG00137	0.14658511352896647
HG00138	HG00138	0.4242905017791098
HG00139	HG00139	0.4044036288553768
HG00140	HG00140	0.6119017845600082
HG00141	HG00141	0.4932434049857993
HG00142	HG00142	0.4279711927493039
HG00143	HG00143	0.29211938270154414
HG00145	HG00145	0.37520739386965124
HG00146	HG00146	0.07542328403637634
HG00148	HG00148	0.5724846954535153
HG00149	HG00149	0.3347268411086809
HG00150	HG00150	0.6507175238814326
HG00151	HG00151	0.6032035240393684
HG00154	HG00154	0.24432675599051545
HG00155	HG00155	0.15641321072950826
HG00157	HG00157	0.45389271856590385
HG00158	HG00158	0.34368873714559056
HG00159	HG00159	0.4042191365299267
HG00160	HG00160	0.5981477471050071
HG00171	HG00171	0.45612770413671155
HG00173	HG00173	0.2428816548178851
HG00174	HG00174	0.4086170854640167
HG00176	HG00176	0.4164836921397605
HG00177	HG00177	0.6971092057873467
HG00178	HG00178	0.09791690778753917
HG00179	HG00179	0.5736300140814301
HG00180	HG00180	0.552663397428281
HG00181	HG00181	0.03308177526554706
HG00182	HG00182	0.36422581150936517
HG00183	HG00183	0.4097546770953205
HG00185	HG00185	0.5594790972375218
HG00186	HG00186	0.5617098873951201
HG00187	HG00187	0.46748193960849027
HG00188	HG00188	0.6515230367442846
HG00189	HG00189	0.2716279753002875
HG00190	HG00190	0.15404157533987647
HG00231	HG00231	0.3477852558175373
HG00232	HG00232	0.4878056869438964
HG00233	HG00233	0.2628079735589444
HG00234	HG00234	0.5105758901029579
HG00235	HG00235	0.6269331460234071
HG00236	HG00236	0.3702709668386123
HG00237	HG00237	0.46616656915558724
HG00238	HG00238	0.6299258521621879
HG00239	HG00239	0.3582020966388077
HG00240	HG00240	0.3577144739680461
HG00242	HG00242	0.5415003078885504
HG00243	HG00243	0.2517416364214623
HG00244	HG00244	0.5524935381476233
HG00245	HG00245	0.3043426075056217
HG00246	HG00246	0.06637824577736182
HG00250	HG00250	0.21679316800037346
HG00251	HG00251	0.14595539452812928
HG00252	HG00252	0.41159376276235804
HG00253	HG00253	0.349699959664665
HG00254	HG00254	0.3006719479389797
HG00255	HG00255	0.4076152538982323
HG00256	HG00256	0.3616961935921652
HG00257	HG00257	0.3971974057158054
HG00258	HG00258	0.7329248305037619
HG00259	HG00259	0.5107096565454646
HG00260	HG00260	0.39986055150912475
HG00261	HG00261	0.5871880043042363
HG00262	HG00262	0.5546775054426776
HG00263	HG00263	0.20960700016439215
HG00264	HG00264	0.4027905666276308
HG00265	HG00265	0.25109635423467397
HG00266	HG00266	0.42378162774950123
HG00267	HG00267	0.6010171741792654
HG00268	HG00268	0.4107490379096764
HG00269	HG00269	0.5656344568406586
HG00271	HG00271	0.22249285302648683
HG00272	HG00272	0.274188172636253
HG00273	HG00273	0.5076472477182764
HG00274	HG00274	0.4418331694933631
HG00275	HG00275	0.1417637704403573
HG00276	HG00276	0.6693725629610822
HG00277	HG00277	0.5226836632128481
HG00278	HG00278	0.6609484820241601
HG00280	HG00280	0.31325713829892793
HG00281	HG00281	0.3118884976078782
HG00282	HG00282	0.5227782670632184
HG00284	HG00284	0.3161721673134776
HG00285	HG00285	0.5865586240374482
HG00288	HG00288	0.3670628288682865
HG00290	HG00290	0.45471818570512756
HG00304	HG00304	0.3729961302296174
HG00306	HG00306	0.37618341264406363
HG00308	HG00308	0.27983412083587
HG00309	HG00309	0.5216048321969655
HG00310	HG00310	0.593033631264439
HG00311	HG00311	0.4911498920847669
HG00313	HG00313	0.3265679264386412
HG00315	HG00315	0.3815666570480851
HG00318	HG00318	0.535063201068668
HG00319	HG00319	0.5069829673978397
HG00320	HG00320	0.5896393989772619
HG00321	HG00321	0.31289512015418874
HG00323	HG00323	0.5483648015717771
HG00324	HG00324	0.6038360310003655
HG00325	HG00325	0.5190544791825585
HG00326	HG00326	0.5192919312542459
HG00327	HG00327	0.5065324832193099
HG00328	HG00328	0.6230890005034613
HG00329	HG00329	0.32061757264554747
HG00330	HG00330	0.02843459308104313
HG00331	HG00331	0.23157912647937848
HG00332	HG00332	0.33151015033318193
HG00334	HG00334	0.4070172116493558
HG00335	HG00335	0.5429386289594464
HG00336	HG00336	0.25667319922207776
HG00337	HG00337	0.502034163187782
HG00338	HG00338	0.34659069247636975
HG00339	HG00339	0.5265793723337623
HG00341	HG00341	0.6149573849531796
HG00342	HG00342	0.5276968007899016
HG00343	HG00343	0.5067038673667845
HG00344	HG00344	0.4007939576771206
HG00345	HG00345	0.16876892399752288
HG00346	HG00346	0.23430649052685915
HG00349	HG00349	0.014770413072026771
HG00350	HG00350	0.0931423153410076
HG00351	HG00351	0.3287561854895889
HG00353	HG00353	0.3992846099319118
HG00355	HG00355	0.4815586619820805
HG00356	HG00356	0.41256867121422025
HG00357	HG00357	2.1116561478083997e-05
HG00358	HG00358	0.38129295265192753
HG00360	HG00360	0.2689989939362893
HG00361	HG00361	0.6072148153909129
HG00362	HG00362	0.19270469256017347
HG00364	HG00364	0.18658198366242196
HG00365	HG00365	0.1665748205385101
HG00366	HG00366	0.21020379154312968
HG00367	HG00367	0.3291937475192483
HG00368	HG00368	0.4298511244402984
HG00369	HG00369	0.36588423394501335
HG00371	HG00371	0.5750855311701026
HG00372	HG00372	0.5874353374983954
HG00373	HG00373	0.4213093063320823
HG00375	HG00375	0.2894273886940935
HG00376	HG00376	0.1721194153878443
HG00378	HG00378	0.16509232636659668
HG00379	HG00379	0.22912493269182557
HG00380	HG00380	0.5020705619308223
HG00381	HG00381	0.2851171464762386
HG00382	HG00382	0.2276695854303748
HG00383	HG00383	0.3383373942607511
HG00384	HG00384	0.19473081324195365
HG00403	HG00403	0.5531423979751378
HG00404	HG00404	0.7434456493271577
HG00406	HG00406	0.7113824023596534
HG00407	HG00407	0.6942100160769871
HG00409	HG00409	0.8536506557243746
HG00410	HG00410	0.487662748646503
HG00419	HG00419	0.7074861566811097
HG00421	HG00421	0.4958669745460999
HG00422	HG00422	0.6415731044121912
HG00428	HG00428	0.7447831248001181
HG00436	HG00436	0.7831498801438713
HG00437	HG00437	0.6757194345144055
HG00442	HG00442	0.710273535519936
HG00443	HG00443	0.8951101057145104
HG00445	HG00445	0.7229311085530392
HG00446	HG00446	0.45847623063860765
HG00448	HG00448	0.8276266720703356
HG00449	HG00449	0.46485494951193895
HG00451	HG00451	0.8087091857316787
HG00452	HG00452	0.7588869280540715
HG00457	HG00457	0.5986851916959224
HG00458	HG00458	0.7676360776900378
HG00463	HG00463	0.577806986398384
HG00464	HG00464	0.5960266564912385
HG00472	HG00472	0.5760903274296563
HG00473	HG00473	0.40341506805562366
HG00475	HG00475	0.5170667568048654
HG00476	HG00476	0.6163570997772042
HG00478	HG00478	0.7882369299298347
HG00479	HG00479	0.5231587843855037
HG00500	HG00500	0.5001572927023716
HG00513	HG00513	0.9298685052377494
HG00524	HG00524	0.47614294310517186
HG00525	HG00525	0.6030947239060386
HG00530	HG00530	0.6897210277682337
HG00531	HG00531	0.8271291463181364
HG00533	HG00533	0.45293005479217935
HG00534	HG00534	0.6358155117312538
HG00536	HG00536	0.4522020659745625
HG00537	HG00537	0.6849580726868465
HG00542	HG00542	0.5159406931730867
HG00543	HG00543	0.49183636756087756
HG00551	HG00551	0.6623939810223515
HG00553	HG00553	0.720570651246395
HG00554	HG00554	0.41980920803711963
HG00556	HG00556	0.7320632433292693
HG00557	HG00557	0.5363908265608301
HG00559	HG00559	0.5777255024630347
HG00560	HG00560	0.5889678060373412
HG00565	HG00565	0.6234799795308767
HG00566	HG00566	0.7524143410347387
HG00580	HG00580	0.654882330348297
HG00581	HG00581	0.5061708278365729
HG00583	HG00583	0.4606966500093745
HG00584	HG00584	0.7153291736174892
HG00589	HG00589	0.5990920894898043
HG00590	HG00590	0.4348145108593083
HG00592	HG00592	0.5080509408962589
HG00593	HG00593	0.49788797256903744
HG00595	HG00595	0.6050458457953125
HG00596	HG00596	0.37066276757689065
HG00598	HG00598	0.6328606818816279
HG00599	HG00599	0.8301377403035515
HG00607	HG00607	0.8262903657740218
HG00608	HG00608	0.722130986475845
HG00610	HG00610	0.9791376678706964
HG00611	HG00611	0.8340176848830795
HG00613	HG00613	0.6277086222912451
HG00614	HG00614	0.5192586634979213
HG00619	HG00619	0.7037201920844119
HG00620	HG00620	0.5251650612221255
HG00622	HG00622	0.4381280112262008
HG00623	HG00623	0.5648044143197485
HG00625	HG00625	0.6711662670516552
HG00626	HG00626	0.5706592672587744
HG00628	HG00628	0.6210770922700128
HG00629	HG00629	0.8622149828843345
HG00631	HG00631	0.6902339842670143
HG00632	HG00632	0.5362490732361334
HG00634	HG00634	0.39018191617187115
HG00637	HG00637	0.5018138288498336
HG00638	HG00638	0.6150404455588977
HG00640	HG00640	0.5816214048760461
HG00641	HG00641	0.5038218012047408
HG00650	HG00650	0.6075856773956456
HG00651	HG00651	0.6688468438482581
HG00653	HG00653	0.5778098038913743
HG00654	HG00654	0.7594300234909686
HG00656	HG00656	0.7850125761005721
HG00657	HG00657	0.7238353268751764
