FID	IID	Phenotype_1
0	HG00096	0.3479191887909054
1	HG00097	0.43524685177971967
2	HG00099	0.4634410258562488
3	HG00100	0.20965948902751863
4	HG00101	0.4583905273831797
5	HG00102	0.2686536388366649
6	HG00103	0.6167178456646343
7	HG00105	0.45946644655797947
8	HG00106	0.5661103195813348
9	HG00107	0.3712051756753481
10	HG00108	0.39486867026750644
11	HG00109	0.5217355469744891
12	HG00110	0.5507815516238529
13	HG00111	0.5602988646263405
14	HG00112	0.3471743392053796
15	HG00113	0.4853404277418256
16	HG00114	0.47094781552718806
17	HG00115	0.29434962815023274
18	HG00116	0.26653444419210753
19	HG00117	0.7252863177936446
20	HG00118	0.44262202384136706
21	HG00119	0.3386032427344369
22	HG00120	0.4103505085211224
23	HG00121	0.3761350916821067
24	HG00122	0.38334833404421337
25	HG00123	0.559633652603041
26	HG00125	0.47360733252156506
27	HG00126	0.5553624992853482
28	HG00127	0.5323424855395903
29	HG00128	0.46947793275557365
30	HG00129	0.35565482931860587
31	HG00130	0.4704176356680916
32	HG00131	0.3396777688263566
33	HG00132	0.49516856787086494
34	HG00133	0.27304681435850225
35	HG00136	0.13666182629025594
36	HG00137	0.3484767909780762
37	HG00138	0.28042478108866753
38	HG00139	0.22274025360490068
39	HG00140	0.4801025433098425
40	HG00141	0.3769876576260689
41	HG00142	0.44411821963510983
42	HG00143	0.37634812932392864
43	HG00145	0.2511102906647023
44	HG00146	0.2119351106718136
45	HG00148	0.38293453732511046
46	HG00149	0.4396850604385863
47	HG00150	0.32685692092131935
48	HG00151	0.4344727551206137
49	HG00154	0.18193045261017718
50	HG00155	0.2956859281633284
51	HG00157	0.2831220397420233
52	HG00158	0.31914967540377187
53	HG00159	0.4832624791252107
54	HG00160	0.533813823408388
55	HG00171	0.5822352911800895
56	HG00173	0.18713385922234527
57	HG00174	0.5442721095487317
58	HG00176	0.6024243116919679
59	HG00177	0.6307488191339522
60	HG00178	0.2601753831510559
61	HG00179	0.5084815681723018
62	HG00180	0.6613596951018792
63	HG00181	0.14395422194135477
64	HG00182	0.42728009122891714
65	HG00183	0.525359203635527
66	HG00185	0.3731786520084414
67	HG00186	0.5011962802652145
68	HG00187	0.3892610538961555
69	HG00188	0.3650292778526562
70	HG00189	0.2840506172741961
71	HG00190	0.47413203570066226
72	HG00231	0.481729881952242
73	HG00232	0.5415678957282589
74	HG00233	0.24357152784355124
75	HG00234	0.3856980291173586
76	HG00235	0.5532549107654703
77	HG00236	0.49361134581233174
78	HG00237	0.2626048012198879
79	HG00238	0.5446375323910277
80	HG00239	0.3338315235029417
81	HG00240	0.5040393088086055
82	HG00242	0.49046928283640917
83	HG00243	0.553510528196993
84	HG00244	0.561038227736968
85	HG00245	0.17514548086112208
86	HG00246	0.19442766010912227
87	HG00250	0.4662729157034286
88	HG00251	0.3858341010606621
89	HG00252	0.6209105984989793
90	HG00253	0.43474418674411514
91	HG00254	0.3573772771720262
92	HG00255	0.5094650843969204
93	HG00256	0.3407153223023317
94	HG00257	0.1308036871386304
95	HG00258	0.6538664285089231
96	HG00259	0.19714200992298908
97	HG00260	0.501551491545373
98	HG00261	0.5848636648638796
99	HG00262	0.4930932749063436
100	HG00263	0.1510367955093982
101	HG00264	0.46348733909791356
102	HG00265	0.20454972388820403
103	HG00266	0.3150010721555806
104	HG00267	0.3914489994153463
105	HG00268	0.525973251593686
106	HG00269	0.49674160300375403
107	HG00271	0.5823317299450532
108	HG00272	0.29963379794419304
109	HG00273	0.40782178759195337
110	HG00274	0.2700614524386
111	HG00275	0.36919256587291044
112	HG00276	0.4951379823469662
113	HG00277	0.4980285627911926
114	HG00278	0.6171350269079623
115	HG00280	0.32873354913250313
116	HG00281	0.36106138726168135
117	HG00282	0.4614068998736944
118	HG00284	0.3574326751459298
119	HG00285	0.532614037926218
120	HG00288	0.42100092445839316
121	HG00290	0.5920779170627972
122	HG00304	0.306360864392185
123	HG00306	0.365870582901405
124	HG00308	0.2710741250796427
125	HG00309	0.383806670385388
126	HG00310	0.5128818027803033
127	HG00311	0.4100863886313045
128	HG00313	0.4300242204398729
129	HG00315	0.46968395208183084
130	HG00318	0.45533351443062414
131	HG00319	0.3653735888311717
132	HG00320	0.5174045180333461
133	HG00321	0.376672909870217
134	HG00323	0.48774277190171134
135	HG00324	0.5527681859853779
136	HG00325	0.6090819179930419
137	HG00326	0.49917534568635236
138	HG00327	0.401502052709844
139	HG00328	0.509358413462791
140	HG00329	0.44835110675483314
141	HG00330	0.08669219754072108
142	HG00331	0.5099274149978568
