FID	IID	Phenotype_1
HG00096	HG00096	0.42834292509702
HG00097	HG00097	0.4738613521289548
HG00099	HG00099	0.2583069750422135
HG00100	HG00100	0.4585957460373786
HG00101	HG00101	0.535846919747787
HG00102	HG00102	0.3627087031832819
HG00103	HG00103	0.41388120357734787
HG00105	HG00105	0.34379585491419484
HG00106	HG00106	0.3725452139957353
HG00107	HG00107	0.6070163005898096
HG00108	HG00108	0.4476527580556143
HG00109	HG00109	0.5116531564417425
HG00110	HG00110	0.4683965587099982
HG00111	HG00111	0.2947961662065541
HG00112	HG00112	0.28750889102880506
HG00113	HG00113	0.5683769598122762
HG00114	HG00114	0.5730673488269888
HG00115	HG00115	0.33024325393600157
HG00116	HG00116	0.35089452312157854
HG00117	HG00117	0.320604118861117
HG00118	HG00118	0.3912312954121638
HG00119	HG00119	0.32666159938953054
HG00120	HG00120	0.3648626052842851
HG00121	HG00121	0.512487948166028
HG00122	HG00122	0.4248030613500499
HG00123	HG00123	0.3941954718139552
HG00125	HG00125	0.5761438737359666
HG00126	HG00126	0.5357783002451459
HG00127	HG00127	0.27732154178564666
HG00128	HG00128	0.427180190937115
HG00129	HG00129	0.3899695833988467
HG00130	HG00130	0.3972679524482812
HG00131	HG00131	0.3827460436368761
HG00132	HG00132	0.4564192014602892
HG00133	HG00133	0.4107534237198117
HG00136	HG00136	0.41630290946893955
HG00137	HG00137	0.3737491790498063
HG00138	HG00138	0.5829024169958554
HG00139	HG00139	0.5832431333125186
HG00140	HG00140	0.5189210982103698
HG00141	HG00141	0.4890099954706779
HG00142	HG00142	0.4844505964944957
HG00143	HG00143	0.37819130570979864
HG00145	HG00145	0.5448318429152098
HG00146	HG00146	0.17259676657809322
HG00148	HG00148	0.4279474407550192
HG00149	HG00149	0.4789196043069305
HG00150	HG00150	0.35682972564465215
HG00151	HG00151	0.30528259921892775
HG00154	HG00154	0.4612355815376338
HG00155	HG00155	0.356135043285116
HG00157	HG00157	0.2355971088653384
HG00158	HG00158	0.3615929059549554
HG00159	HG00159	0.29123457737665176
HG00160	HG00160	0.46096071670261735
HG00171	HG00171	0.26902681086488434
HG00173	HG00173	0.5324009476419043
HG00174	HG00174	0.43281572680987496
HG00176	HG00176	0.4823053917457902
HG00177	HG00177	0.436630452017869
HG00178	HG00178	0.3576515784028913
HG00179	HG00179	0.4967090547988034
HG00180	HG00180	0.43185485169884763
HG00181	HG00181	0.3617255171160067
HG00182	HG00182	0.41189740542664977
HG00183	HG00183	0.32064072117093584
HG00185	HG00185	0.39314862787272953
HG00186	HG00186	0.40728273757530276
HG00187	HG00187	0.5420230148662785
HG00188	HG00188	0.5334226100434789
HG00189	HG00189	0.354538232727828
HG00190	HG00190	0.39985873059278265
HG00231	HG00231	0.4811365855315293
HG00232	HG00232	0.37178969379535565
HG00233	HG00233	0.40448169190056416
HG00234	HG00234	0.49545529104129127
HG00235	HG00235	0.4429660974999304
HG00236	HG00236	0.45615746727392353
HG00237	HG00237	0.27719105493002866
HG00238	HG00238	0.4357483669104489
HG00239	HG00239	0.442941572960005
HG00240	HG00240	0.5419816267723006
HG00242	HG00242	0.3522146884448459
HG00243	HG00243	0.3155751430769664
HG00244	HG00244	0.5306697351711748
HG00245	HG00245	0.33321549022638774
HG00246	HG00246	0.349045795467893
HG00250	HG00250	0.13469650625761087
HG00251	HG00251	0.603408955899078
HG00252	HG00252	0.5025719877564516
HG00253	HG00253	0.38998853189451654
HG00254	HG00254	0.38473485256217244
HG00255	HG00255	0.35295648159902027
HG00256	HG00256	0.38510202955546463
HG00257	HG00257	0.5960047537690907
HG00258	HG00258	0.3604360183518525
HG00259	HG00259	0.2628977861536999
HG00260	HG00260	0.35913690140705823
HG00261	HG00261	0.4006188366488592
HG00262	HG00262	0.564608566567062
HG00263	HG00263	0.33497607298584764
HG00264	HG00264	0.3235879426268527
HG00265	HG00265	0.4474263298454277
HG00266	HG00266	0.5167525775824295
HG00267	HG00267	0.5431426646910908
HG00268	HG00268	0.45916481252764774
HG00269	HG00269	0.42721430063788945
HG00271	HG00271	0.3837356497769833
HG00272	HG00272	0.33166591827236763
HG00273	HG00273	0.287384872635539
HG00274	HG00274	0.4079620472811145
HG00275	HG00275	0.400566773410572
HG00276	HG00276	0.32839741590277277
HG00277	HG00277	0.4060108904413813
HG00278	HG00278	0.447829525447146
HG00280	HG00280	0.4362855437109005
HG00281	HG00281	0.5070281377920856
