FID	IID	Phenotype_1
HG00096	HG00096	0.6443798023952396
HG00097	HG00097	0.8337331053351621
HG00099	HG00099	0.6429303055361065
HG00100	HG00100	0.6340074202898704
HG00101	HG00101	0.4472416133292686
HG00102	HG00102	0.7145364867482757
HG00103	HG00103	0.5839239975886656
HG00105	HG00105	0.5484015711126707
HG00106	HG00106	0.5284668560880313
HG00107	HG00107	0.5212608945764621
HG00108	HG00108	0.7836908039748428
HG00109	HG00109	0.6708624531860107
HG00110	HG00110	0.663568703590195
HG00111	HG00111	0.58837546090051
HG00112	HG00112	0.8479502212060559
HG00113	HG00113	0.36786312704453833
HG00114	HG00114	0.8301739563800978
HG00115	HG00115	0.49520218557669815
HG00116	HG00116	0.4862262945356118
HG00117	HG00117	0.699717517178564
HG00118	HG00118	0.6404909618635862
HG00119	HG00119	0.49399196553990965
HG00120	HG00120	0.579509295641343
HG00121	HG00121	0.5025654407303606
HG00122	HG00122	0.38717287086398383
HG00123	HG00123	0.791390817621609
HG00125	HG00125	0.4078711070680257
HG00126	HG00126	0.4659342787765131
HG00127	HG00127	0.7569141333055787
HG00128	HG00128	0.4892611428979004
HG00129	HG00129	0.54955880325818
HG00130	HG00130	0.6922171433436844
HG00131	HG00131	0.5342425266020137
HG00132	HG00132	0.46882172100937364
HG00133	HG00133	0.6592572982216105
HG00136	HG00136	0.5804442366169539
HG00137	HG00137	0.5740876724372154
HG00138	HG00138	0.5715953105825206
HG00139	HG00139	0.7365773469625571
HG00140	HG00140	0.32632238137832564
HG00141	HG00141	0.698717784305946
HG00142	HG00142	0.6932164344845303
HG00143	HG00143	0.47371251706637035
HG00145	HG00145	0.4486006205118413
HG00146	HG00146	0.569244326782744
HG00148	HG00148	0.6826203764446608
HG00149	HG00149	0.49301945671782
HG00150	HG00150	0.5089659711486118
HG00151	HG00151	0.8638435526700148
HG00154	HG00154	0.4148340490502203
HG00155	HG00155	0.4210369208324167
HG00157	HG00157	0.5137354394461132
HG00158	HG00158	0.6124775985791869
HG00159	HG00159	0.5859409261571872
HG00160	HG00160	0.4176638239398748
HG00171	HG00171	0.637590384750112
HG00173	HG00173	0.7458363020337191
HG00174	HG00174	0.6504775439558822
HG00176	HG00176	0.5612919801074742
HG00177	HG00177	0.3553373280492873
HG00178	HG00178	0.6161362588262952
