FID	IID	Phenotype_1
HG00096	HG00096	0.32636251220069384
HG00097	HG00097	0.4375139427932358
HG00099	HG00099	0.46143050973493477
HG00100	HG00100	0.21945337627269818
HG00101	HG00101	0.4377968120091087
HG00102	HG00102	0.26179651928128883
HG00103	HG00103	0.6056829391535626
HG00105	HG00105	0.46672997766682905
HG00106	HG00106	0.5582915135799162
HG00107	HG00107	0.3697494163115054
HG00108	HG00108	0.38144177458263046
HG00109	HG00109	0.5275221934152259
HG00110	HG00110	0.533301451075057
HG00111	HG00111	0.5572783043025604
HG00112	HG00112	0.34103639217870535
HG00113	HG00113	0.4641475468916968
HG00114	HG00114	0.46837077234205454
HG00115	HG00115	0.27666615741009315
HG00116	HG00116	0.2575139527925678
HG00117	HG00117	0.7137175613547212
HG00118	HG00118	0.4184031068269458
HG00119	HG00119	0.34585584165831434
HG00120	HG00120	0.4026468028184568
HG00121	HG00121	0.37573418367960937
HG00122	HG00122	0.371214225875942
HG00123	HG00123	0.5577028436205429
HG00125	HG00125	0.45433955130642134
HG00126	HG00126	0.5417614446102109
HG00127	HG00127	0.5133683612611191
HG00128	HG00128	0.4791543890406173
HG00129	HG00129	0.36655320624115273
HG00130	HG00130	0.4573458949086618
HG00131	HG00131	0.30965259413625623
HG00132	HG00132	0.47191520326067415
HG00133	HG00133	0.26166976724706803
HG00136	HG00136	0.1349445811168692
HG00137	HG00137	0.3419130063651982
HG00138	HG00138	0.25012785257090375
HG00139	HG00139	0.2174112461958064
HG00140	HG00140	0.4772555981575459
HG00141	HG00141	0.37407693997392827
HG00142	HG00142	0.44314161313606926
HG00143	HG00143	0.34498751386364934
HG00145	HG00145	0.23167541354555413
HG00146	HG00146	0.19495962889625537
HG00148	HG00148	0.3618798786656239
HG00149	HG00149	0.42644487239377
HG00150	HG00150	0.32417463235391525
HG00151	HG00151	0.4219283462493156
HG00154	HG00154	0.2031448143773045
HG00155	HG00155	0.28892281272530773
HG00157	HG00157	0.25907724428038487
HG00158	HG00158	0.3627875225729033
HG00159	HG00159	0.46468895683043165
HG00160	HG00160	0.5328016160668722
HG00171	HG00171	0.6053350662531066
HG00173	HG00173	0.17825159888064832
HG00174	HG00174	0.5324719992510308
HG00176	HG00176	0.5924863506094848
HG00177	HG00177	0.6274711509961123
HG00178	HG00178	0.28148672751509873
HG00179	HG00179	0.4943712226839233
HG00180	HG00180	0.638758850367737
HG00181	HG00181	0.1872860880253474
HG00182	HG00182	0.43965406649037403
HG00183	HG00183	0.49690499490586354
HG00185	HG00185	0.3603384008183262
HG00186	HG00186	0.5318347197431765
