FID	IID	Phenotype_1
0	HG00096	0.32636251220069384
1	HG00097	0.4375139427932358
2	HG00099	0.46143050973493477
3	HG00100	0.21945337627269818
4	HG00101	0.4377968120091087
5	HG00102	0.26179651928128883
6	HG00103	0.6056829391535626
7	HG00105	0.46672997766682905
8	HG00106	0.5582915135799162
9	HG00107	0.3697494163115054
10	HG00108	0.38144177458263046
11	HG00109	0.5275221934152259
12	HG00110	0.533301451075057
13	HG00111	0.5572783043025604
14	HG00112	0.34103639217870535
15	HG00113	0.4641475468916968
16	HG00114	0.46837077234205454
17	HG00115	0.27666615741009315
18	HG00116	0.2575139527925678
19	HG00117	0.7137175613547212
20	HG00118	0.4184031068269458
21	HG00119	0.34585584165831434
22	HG00120	0.4026468028184568
23	HG00121	0.37573418367960937
24	HG00122	0.371214225875942
25	HG00123	0.5577028436205429
26	HG00125	0.45433955130642134
27	HG00126	0.5417614446102109
28	HG00127	0.5133683612611191
29	HG00128	0.4791543890406173
30	HG00129	0.36655320624115273
31	HG00130	0.4573458949086618
32	HG00131	0.30965259413625623
33	HG00132	0.47191520326067415
34	HG00133	0.26166976724706803
35	HG00136	0.1349445811168692
36	HG00137	0.3419130063651982
37	HG00138	0.25012785257090375
38	HG00139	0.2174112461958064
39	HG00140	0.4772555981575459
40	HG00141	0.37407693997392827
41	HG00142	0.44314161313606926
42	HG00143	0.34498751386364934
43	HG00145	0.23167541354555413
44	HG00146	0.19495962889625537
45	HG00148	0.3618798786656239
46	HG00149	0.42644487239377
47	HG00150	0.32417463235391525
48	HG00151	0.4219283462493156
49	HG00154	0.2031448143773045
50	HG00155	0.28892281272530773
51	HG00157	0.25907724428038487
52	HG00158	0.3627875225729033
53	HG00159	0.46468895683043165
54	HG00160	0.5328016160668722
55	HG00171	0.6053350662531066
56	HG00173	0.17825159888064832
57	HG00174	0.5324719992510308
58	HG00176	0.5924863506094848
59	HG00177	0.6274711509961123
60	HG00178	0.28148672751509873
61	HG00179	0.4943712226839233
62	HG00180	0.638758850367737
63	HG00181	0.1872860880253474
64	HG00182	0.43965406649037403
65	HG00183	0.49690499490586354
66	HG00185	0.3603384008183262
67	HG00186	0.5318347197431765
68	HG00187	0.38076490923272144
69	HG00188	0.36388579644714814
70	HG00189	0.2735791027778243
71	HG00190	0.4601402306221811
72	HG00231	0.49941846134324214
73	HG00232	0.5220584719085427
74	HG00233	0.23391027595723532
75	HG00234	0.36644564911220273
76	HG00235	0.54398982881609
77	HG00236	0.4635407467639457
78	HG00237	0.24160159951248744
79	HG00238	0.522065157961102
80	HG00239	0.3440447007285155
81	HG00240	0.5128452225248898
82	HG00242	0.49072221741549343
83	HG00243	0.5350566953831535
84	HG00244	0.5557673983492039
85	HG00245	0.18314331379998122
86	HG00246	0.20511860930148992
87	HG00250	0.4553860603112247
88	HG00251	0.36594804405073905
89	HG00252	0.6082992046533904
90	HG00253	0.4174613397014521
91	HG00254	0.3658743178472899
92	HG00255	0.48310730122985324
93	HG00256	0.30754908327975333
94	HG00257	0.11082065904549857
95	HG00258	0.6516049901046488
96	HG00259	0.18430544631870432
97	HG00260	0.49249312820700836
98	HG00261	0.5915990826688581
99	HG00262	0.4609928120928413
100	HG00263	0.14262998950634787
101	HG00264	0.46624836606550407
102	HG00265	0.1937760285887364
103	HG00266	0.3094468124666323
104	HG00267	0.4300328559945017
105	HG00268	0.5235722818935589
106	HG00269	0.47388052732219993
107	HG00271	0.5711407315359057
108	HG00272	0.2818545006486995
109	HG00273	0.3962004527763828
110	HG00274	0.30045538834390517
111	HG00275	0.35821024279497105
112	HG00276	0.4918777566606764
113	HG00277	0.48147498168882114
114	HG00278	0.6090122132842701
115	HG00280	0.31790134102759326
116	HG00281	0.3506871087979527
117	HG00282	0.45941007928476923
118	HG00284	0.366534721259049
119	HG00285	0.5187127415468801
120	HG00288	0.42111039450784654
121	HG00290	0.5834600370922468
122	HG00304	0.31544610157849196
123	HG00306	0.367593355716693
124	HG00308	0.2599536786457579
125	HG00309	0.39306092808965126
126	HG00310	0.4931975231493672
127	HG00311	0.4058696904105264
128	HG00313	0.3974757642433503
129	HG00315	0.46891153653154216
130	HG00318	0.45087916149661605
131	HG00319	0.3937962515999211
132	HG00320	0.5197531542262116
133	HG00321	0.3865449708452622
134	HG00323	0.47781980555979314
135	HG00324	0.5531710677981484
136	HG00325	0.605531568834658
137	HG00326	0.48163413066194466
138	HG00327	0.3692858013379987
139	HG00328	0.5171893055584827
140	HG00329	0.43718962875461587
141	HG00330	0.0882426832734919
142	HG00331	0.5123479853519627
143	HG00332	0.4149306065882391
144	HG00334	0.6170523723650327
145	HG00335	0.2664193539141596
146	HG00336	0.5216137225485312
147	HG00337	0.42993385897493797
148	HG00338	0.4384606864041143
149	HG00339	0.21805817935130808
150	HG00341	0.4249615861205427
151	HG00342	0.397087318997708
152	HG00343	0.3326200932346583
153	HG00344	0.45388683807032426
154	HG00345	0.43405651867190187
155	HG00346	0.5119907808022603
156	HG00349	0.30230354444800134
157	HG00350	0.2806411438136293
158	HG00351	0.3984910093959187
159	HG00353	0.46767593115735473
160	HG00355	0.5599800918291538
