FID	IID	Phenotype_1
HG00096	HG00096	0.494368132946172
HG00097	HG00097	0.42977841467815225
HG00099	HG00099	0.44183654595874433
HG00100	HG00100	0.32911191801749223
HG00101	HG00101	0.3638670057779922
HG00102	HG00102	0.43047914617590977
HG00103	HG00103	0.34311414851548144
HG00105	HG00105	0.3119887476613074
HG00106	HG00106	0.42339879944609604
HG00107	HG00107	0.37707171836052344
HG00108	HG00108	0.41458898142868383
HG00109	HG00109	0.435018170047178
HG00110	HG00110	0.2609859223173183
HG00111	HG00111	0.4400527035530744
HG00112	HG00112	0.2625687274991408
HG00113	HG00113	0.38788289145901833
HG00114	HG00114	0.4106525153228862
HG00115	HG00115	0.3428886689860278
HG00116	HG00116	0.17127502782355228
HG00117	HG00117	0.4600837588375729
HG00118	HG00118	0.486808822326644
HG00119	HG00119	0.38414229530325306
HG00120	HG00120	0.17632064584063226
HG00121	HG00121	0.24877693008190524
HG00122	HG00122	0.23738097255990787
HG00123	HG00123	0.24120298565737336
HG00125	HG00125	0.21847254863794469
HG00126	HG00126	0.3181101981281084
HG00127	HG00127	0.17589821096025923
HG00128	HG00128	0.49007956111709133
HG00129	HG00129	0.4363266788155563
HG00130	HG00130	0.4766192459943144
HG00131	HG00131	0.3820354596581248
HG00132	HG00132	0.19087300989346923
HG00133	HG00133	0.41104770469367446
HG00136	HG00136	0.4806163540486544
HG00137	HG00137	0.25842505566981927
HG00138	HG00138	0.4367586874358908
HG00139	HG00139	0.3178238658856806
HG00140	HG00140	0.18940754093026993
HG00141	HG00141	0.23737470697670282
HG00142	HG00142	0.35609581360688414
HG00143	HG00143	0.22431931553302142
HG00145	HG00145	0.46060273217420655
HG00146	HG00146	0.3951888634555499
HG00148	HG00148	0.645328795744566
HG00149	HG00149	0.40276901447009084
HG00150	HG00150	0.2776487822012408
HG00151	HG00151	0.33210313549447656
HG00154	HG00154	0.49615632819126476
HG00155	HG00155	0.39303197098718345
HG00157	HG00157	0.21953152525470426
HG00158	HG00158	0.30702855711333404
HG00159	HG00159	0.43885685083190273
HG00160	HG00160	0.4202983001675678
HG00171	HG00171	0.3390461561941103
HG00173	HG00173	0.3053404004747149
HG00174	HG00174	0.3034186714745402
HG00176	HG00176	0.2968281815170999
HG00177	HG00177	0.3529491689183843
HG00178	HG00178	0.46081244778296393
HG00179	HG00179	0.4063623927420891
HG00180	HG00180	0.35991155500638783
HG00181	HG00181	0.2316116216888351
HG00182	HG00182	0.7029662183448416
HG00183	HG00183	0.21886057752509
HG00185	HG00185	0.6551931886722466
HG00186	HG00186	0.5486094300905333
HG00187	HG00187	0.2907810858658722
HG00188	HG00188	0.5335786003814231
HG00189	HG00189	0.4936538311199295
HG00190	HG00190	0.23953674199440805
HG00231	HG00231	0.41993724353567313
HG00232	HG00232	0.18264236643294707
HG00233	HG00233	0.3681361762946847
HG00234	HG00234	0.34562529191838787
HG00235	HG00235	0.29914365130926673
HG00236	HG00236	0.42635885195384543
HG00237	HG00237	0.21749021623778567
HG00238	HG00238	0.3969463318687349
HG00239	HG00239	0.4910242800298626
HG00240	HG00240	0.6313249063740056
HG00242	HG00242	0.4266231132667315
HG00243	HG00243	0.3498867185127356
HG00244	HG00244	0.40474184512659783
HG00245	HG00245	0.323251282430152
HG00246	HG00246	0.29391342803933534
HG00250	HG00250	0.48234096258654774
HG00251	HG00251	0.5508511113402753
HG00252	HG00252	0.4374839617373771
HG00253	HG00253	0.47374769779941345
HG00254	HG00254	0.3433931239692219
HG00255	HG00255	0.5211374993409454
HG00256	HG00256	0.23877904905098304
HG00257	HG00257	0.5002324577999054
HG00258	HG00258	0.3226857050861271
HG00259	HG00259	0.5002152574196409
HG00260	HG00260	0.3870933162622574
HG00261	HG00261	0.5045099507589776
HG00262	HG00262	0.40696568608334893
HG00263	HG00263	0.19628062213033354
HG00264	HG00264	0.3925949123029382
HG00265	HG00265	0.2927462476241475
HG00266	HG00266	0.46529407163829795
HG00267	HG00267	0.36052015143144023
HG00268	HG00268	0.5320148621902512
HG00269	HG00269	0.3135068574770118
HG00271	HG00271	0.5175263032199496
HG00272	HG00272	0.3524949102766318
HG00273	HG00273	0.5002576463736144
HG00274	HG00274	0.4101877570441133
HG00275	HG00275	0.49537183995383394
HG00276	HG00276	0.3475255761737787
HG00277	HG00277	0.2768480267948867
HG00278	HG00278	0.5779436883098813
HG00280	HG00280	0.5262167691316729
HG00281	HG00281	0.38050456339059313
HG00282	HG00282	0.5119413023937599
HG00284	HG00284	0.40768684746866574
HG00285	HG00285	0.27188809259866553
HG00288	HG00288	0.3465477785874802
HG00290	HG00290	0.3472091771831463
HG00304	HG00304	0.31702838901363484
HG00306	HG00306	0.5368796297376731
HG00308	HG00308	0.27648350871793514
HG00309	HG00309	0.4836374480513864
HG00310	HG00310	0.208747790112947
HG00311	HG00311	0.37735254128066903
HG00313	HG00313	0.2897838899516996
HG00315	HG00315	0.35787966675209304
HG00318	HG00318	0.44447142360428415
HG00319	HG00319	0.6985405973045056
HG00320	HG00320	0.5189459712119662
HG00321	HG00321	0.32103717245171204
HG00323	HG00323	0.6408273859834729
HG00324	HG00324	0.30265757396853865
HG00325	HG00325	0.5687009831482024
HG00326	HG00326	0.426354962039374
HG00327	HG00327	0.2316276296645258
HG00328	HG00328	0.45096232779745943
HG00329	HG00329	0.6012961566409555
HG00330	HG00330	0.5108144747894248
HG00331	HG00331	0.6026278765256594
HG00332	HG00332	0.4162057284158581
HG00334	HG00334	0.5792951348139835
HG00335	HG00335	0.653426368295885
HG00336	HG00336	0.41322266730193685
HG00337	HG00337	0.5503373344549282
HG00338	HG00338	0.3723155371262473
HG00339	HG00339	0.5464562559212107
HG00341	HG00341	0.4197984908404334
HG00342	HG00342	0.3252997980042423
HG00343	HG00343	0.404211588050252
HG00344	HG00344	0.3035177026537586
HG00345	HG00345	0.36430539912684784
HG00346	HG00346	0.41145512490957875
HG00349	HG00349	0.3363657442926263
HG00350	HG00350	0.33539133887015976
HG00351	HG00351	0.5266762270103472
HG00353	HG00353	0.35169609370233806
HG00355	HG00355	0.521036268887292
HG00356	HG00356	0.5288295475237482
HG00357	HG00357	0.4320080882947246
HG00358	HG00358	0.5276453966176716
HG00360	HG00360	0.23821466645347814
HG00361	HG00361	0.45898855104490277
HG00362	HG00362	0.28765391425689923
HG00364	HG00364	0.4239576841445636
HG00365	HG00365	0.5367294055156956
HG00366	HG00366	0.28536796404865816
HG00367	HG00367	0.5272054491580659
HG00368	HG00368	0.39240413487491776
HG00369	HG00369	0.6300886296133525
HG00371	HG00371	0.34456276664971236
HG00372	HG00372	0.33031561470364984
HG00373	HG00373	0.45182726336733564
HG00375	HG00375	0.3433526083384986
HG00376	HG00376	0.2785089215111291
HG00378	HG00378	0.5151097881294655
HG00379	HG00379	0.49689065922042647
HG00380	HG00380	0.4124876800840583
HG00381	HG00381	0.44386863866733817
HG00382	HG00382	0.4782962659441571
HG00383	HG00383	0.23470336109634168
HG00384	HG00384	0.6438034586541131
HG00403	HG00403	0.527597495974856
HG00404	HG00404	0.4927552543980707
HG00406	HG00406	0.33028601336324964
HG00407	HG00407	0.5423341501793504
HG00409	HG00409	0.6032350129162278
HG00410	HG00410	0.6683222376430934
HG00419	HG00419	0.5198070334956141
HG00421	HG00421	0.3828266083520863
HG00422	HG00422	0.38056853703368615
HG00428	HG00428	0.39606724949040206
HG00436	HG00436	0.3445753777333948
HG00437	HG00437	0.3351900086499207
HG00442	HG00442	0.31088677642668383
HG00443	HG00443	0.7074129161496463
HG00445	HG00445	0.34358898479453304
HG00446	HG00446	0.3376081357527052
HG00448	HG00448	0.563365130140943
HG00449	HG00449	0.4931755315263136
HG00451	HG00451	0.5271519839420691
HG00452	HG00452	0.5420210476713444
HG00457	HG00457	0.2830589868011981
HG00458	HG00458	0.5026624783715075
HG00463	HG00463	0.48404720465059115
HG00464	HG00464	0.2902301583938455
HG00472	HG00472	0.5028209255589458
HG00473	HG00473	0.39119974453841716
HG00475	HG00475	0.6419160218241771
HG00476	HG00476	0.6262086402773347
HG00478	HG00478	0.5925288003378719
HG00479	HG00479	0.4696555404488012
HG00500	HG00500	0.37572695085116714
HG00513	HG00513	0.45778323448384345
HG00524	HG00524	0.3674842193417606
HG00525	HG00525	0.6188332382013607
HG00530	HG00530	0.3432169802694324
HG00531	HG00531	0.6573215565023717
HG00533	HG00533	0.4035169573332165
HG00534	HG00534	0.5191837823461055
HG00536	HG00536	0.36987753349216357
HG00537	HG00537	0.44876537580584325
HG00542	HG00542	0.4031568691158906
HG00543	HG00543	0.4518774347129609
HG00551	HG00551	0.5165188328477986
HG00553	HG00553	0.6263057839949983
HG00554	HG00554	0.35458113550896
HG00556	HG00556	0.46023843202616177
HG00557	HG00557	0.1938691104133799
HG00559	HG00559	0.6129478424692941
HG00560	HG00560	0.6864199890919944
HG00565	HG00565	0.47016371900268417
HG00566	HG00566	0.4871200307225953
HG00580	HG00580	0.37549989262545114
HG00581	HG00581	0.44345255461246386
HG00583	HG00583	0.40229593301666816
HG00584	HG00584	0.5440565332611604
HG00589	HG00589	0.541728842464874
HG00590	HG00590	0.26353710072638975
HG00592	HG00592	0.6738855984264918
HG00593	HG00593	0.5644299147513187
HG00595	HG00595	0.6170130423438724
HG00596	HG00596	0.25608588745492916
HG00598	HG00598	0.7111601777329982
HG00599	HG00599	0.4981739470871088
HG00607	HG00607	0.6972244643566172
HG00608	HG00608	0.3791559134526159
HG00610	HG00610	0.1611997397080639
HG00611	HG00611	0.404610350221425
HG00613	HG00613	0.48103871067362236
HG00614	HG00614	0.44176151011440107
HG00619	HG00619	0.6618813135296198
HG00620	HG00620	0.46146694858683246
HG00622	HG00622	0.5512938744568247
HG00623	HG00623	0.45207495820736826
