FID	IID	Phenotype_1
0	HG00096	0
1	HG00097	0
2	HG00099	0
3	HG00100	0
4	HG00101	0
5	HG00102	0
6	HG00103	0
7	HG00105	0
8	HG00106	0
9	HG00107	0
10	HG00108	0
11	HG00109	0
12	HG00110	0
13	HG00111	0
14	HG00112	0
15	HG00113	0
16	HG00114	0
17	HG00115	0
18	HG00116	0
19	HG00117	0
20	HG00118	0
21	HG00119	0
22	HG00120	0
23	HG00121	0
24	HG00122	0
25	HG00123	0
26	HG00125	0
27	HG00126	0
28	HG00127	0
29	HG00128	0
30	HG00129	0
31	HG00130	0
32	HG00131	0
33	HG00132	0
34	HG00133	0
35	HG00136	0
36	HG00137	0
37	HG00138	0
38	HG00139	0
39	HG00140	0
40	HG00141	0
41	HG00142	0
42	HG00143	0
43	HG00145	0
44	HG00146	0
45	HG00148	0
46	HG00149	0
47	HG00150	0
48	HG00151	0
49	HG00154	0
50	HG00155	0
51	HG00157	0
52	HG00158	0
53	HG00159	0
54	HG00160	0
55	HG00171	0
56	HG00173	0
57	HG00174	0
58	HG00176	0
59	HG00177	0
60	HG00178	0
61	HG00179	0
62	HG00180	0
63	HG00181	0
64	HG00182	0
65	HG00183	0
66	HG00185	0
67	HG00186	0
68	HG00187	0
69	HG00188	0
70	HG00189	0
71	HG00190	0
72	HG00231	0
73	HG00232	0
74	HG00233	0
75	HG00234	0
76	HG00235	0
77	HG00236	0
78	HG00237	0
79	HG00238	0
80	HG00239	0
81	HG00240	0
82	HG00242	0
83	HG00243	0
84	HG00244	1
85	HG00245	0
86	HG00246	0
87	HG00250	0
88	HG00251	0
89	HG00252	0
90	HG00253	0
91	HG00254	0
92	HG00255	0
93	HG00256	0
94	HG00257	0
95	HG00258	0
96	HG00259	0
97	HG00260	0
98	HG00261	0
99	HG00262	0
100	HG00263	0
101	HG00264	0
102	HG00265	0
103	HG00266	0
104	HG00267	0
105	HG00268	0
106	HG00269	0
107	HG00271	0
108	HG00272	0
109	HG00273	0
110	HG00274	0
111	HG00275	0
112	HG00276	0
113	HG00277	0
114	HG00278	1
115	HG00280	0
116	HG00281	0
117	HG00282	0
118	HG00284	0
119	HG00285	0
120	HG00288	0
121	HG00290	0
122	HG00304	0
123	HG00306	0
124	HG00308	0
125	HG00309	0
126	HG00310	0
127	HG00311	0
128	HG00313	0
129	HG00315	0
130	HG00318	0
131	HG00319	0
132	HG00320	0
133	HG00321	0
134	HG00323	0
135	HG00324	0
136	HG00325	0
137	HG00326	1
138	HG00327	0
139	HG00328	0
140	HG00329	0
141	HG00330	0
142	HG00331	0
143	HG00332	0
144	HG00334	0
145	HG00335	0
146	HG00336	0
147	HG00337	0
148	HG00338	0
149	HG00339	0
150	HG00341	0
151	HG00342	0
152	HG00343	0
153	HG00344	0
154	HG00345	0
155	HG00346	0
156	HG00349	0
157	HG00350	0
158	HG00351	0
159	HG00353	0
160	HG00355	0
161	HG00356	0
162	HG00357	0
163	HG00358	0
164	HG00360	0
165	HG00361	0
166	HG00362	0
167	HG00364	0
168	HG00365	0
169	HG00366	0
170	HG00367	0
171	HG00368	0
172	HG00369	0
173	HG00371	0
174	HG00372	0
175	HG00373	0
176	HG00375	0
177	HG00376	0
178	HG00378	0
179	HG00379	0
180	HG00380	1
181	HG00381	0
182	HG00382	0
183	HG00383	0
184	HG00384	0
185	HG00403	0
186	HG00404	0
187	HG00406	1
188	HG00407	1
189	HG00409	0
190	HG00410	1
191	HG00419	0
192	HG00421	0
193	HG00422	1
194	HG00428	1
195	HG00436	1
196	HG00437	0
197	HG00442	1
198	HG00443	1
199	HG00445	0
200	HG00446	0
201	HG00448	1
202	HG00449	0
203	HG00451	0
204	HG00452	1
205	HG00457	0
206	HG00458	1
207	HG00463	1
208	HG00464	1
209	HG00472	0
210	HG00473	1
211	HG00475	1
212	HG00476	1
213	HG00478	1
214	HG00479	1
215	HG00500	0
216	HG00513	1
217	HG00524	1
218	HG00525	1
219	HG00530	0
220	HG00531	1
221	HG00533	1
222	HG00534	1
223	HG00536	1
224	HG00537	1
225	HG00542	0
226	HG00543	1
227	HG00551	0
228	HG00553	0
229	HG00554	0
230	HG00556	0
231	HG00557	0
232	HG00559	1
233	HG00560	1
234	HG00565	1
235	HG00566	1
236	HG00580	1
237	HG00581	1
238	HG00583	1
239	HG00584	1
240	HG00589	0
241	HG00590	1
242	HG00592	1
243	HG00593	1
244	HG00595	0
245	HG00596	0
246	HG00598	1
247	HG00599	1
248	HG00607	1
249	HG00608	1
250	HG00610	1
251	HG00611	1
252	HG00613	1
253	HG00614	1
254	HG00619	1
255	HG00620	1
256	HG00622	1
257	HG00623	1
258	HG00625	0
259	HG00626	1
260	HG00628	1
261	HG00629	1
262	HG00631	1
263	HG00632	0
264	HG00634	1
265	HG00637	0
266	HG00638	0
267	HG00640	0
268	HG00641	0
269	HG00650	1
270	HG00651	0
271	HG00653	1
272	HG00654	1
273	HG00656	1
274	HG00657	1
275	HG00662	1
276	HG00663	1
277	HG00671	1
278	HG00672	0
279	HG00674	1
280	HG00675	1
281	HG00683	1
282	HG00684	1
283	HG00689	1
284	HG00690	1
285	HG00692	1
286	HG00693	0
287	HG00698	1
288	HG00699	1
289	HG00701	0
290	HG00704	1
291	HG00705	1
292	HG00707	0
293	HG00708	1
294	HG00717	0
295	HG00728	0
296	HG00729	1
297	HG00731	0
298	HG00732	0
299	HG00734	0
300	HG00736	0
301	HG00737	0
302	HG00739	0
303	HG00740	0
304	HG00742	0
305	HG00743	1
306	HG00759	0
307	HG00766	1
308	HG00844	1
309	HG00851	1
310	HG00864	1
311	HG00867	1
312	HG00879	1
313	HG00881	1
314	HG00956	1
315	HG00978	1
316	HG00982	1
317	HG01028	1
318	HG01029	1
319	HG01031	1
320	HG01046	1
321	HG01047	0
322	HG01048	0
323	HG01049	0
324	HG01051	0
325	HG01052	0
326	HG01054	0
327	HG01055	0
328	HG01058	0
329	HG01060	0
330	HG01061	0
331	HG01063	0
332	HG01064	0
333	HG01066	0
334	HG01067	0
335	HG01069	0
336	HG01070	0
337	HG01072	0
338	HG01073	0
339	HG01075	0
340	HG01077	0
341	HG01079	0
342	HG01080	0
343	HG01082	0
344	HG01083	0
345	HG01085	0
346	HG01086	0
347	HG01088	0
348	HG01089	1
349	HG01092	0
350	HG01094	0
351	HG01095	1
352	HG01097	0
353	HG01098	0
354	HG01101	0
355	HG01102	0
356	HG01104	0
357	HG01105	0
358	HG01107	0
359	HG01108	0
360	HG01110	0
361	HG01111	1
362	HG01112	0
363	HG01113	0
364	HG01119	0
365	HG01121	0
366	HG01122	0
367	HG01124	0
368	HG01125	0
369	HG01130	0
370	HG01131	0
371	HG01133	0
372	HG01134	0
373	HG01136	1
374	HG01137	0
375	HG01139	0
376	HG01140	0
377	HG01142	0
378	HG01148	0
379	HG01149	0
380	HG01161	0
381	HG01162	0
382	HG01164	0
383	HG01167	0
384	HG01168	0
385	HG01170	0
386	HG01171	0
387	HG01173	0
388	HG01174	0
389	HG01176	0
390	HG01177	0
391	HG01182	0
392	HG01183	0
393	HG01187	0
394	HG01188	0
395	HG01190	0
396	HG01191	0
397	HG01197	0
398	HG01198	0
399	HG01200	0
400	HG01204	0
401	HG01205	0
402	HG01241	0
403	HG01242	0
404	HG01247	0
405	HG01248	0
406	HG01250	0
407	HG01251	0
408	HG01253	0
409	HG01254	0
410	HG01256	0
411	HG01257	0
412	HG01259	0
413	HG01260	0
414	HG01269	0
415	HG01271	0
416	HG01272	0
417	HG01275	0
418	HG01277	0
419	HG01280	0
420	HG01281	1
421	HG01284	0
422	HG01286	0
423	HG01302	0
424	HG01303	0
425	HG01305	0
426	HG01308	0
427	HG01311	0
428	HG01312	0
429	HG01323	0
430	HG01325	0
431	HG01326	0
432	HG01334	0
433	HG01341	1
434	HG01342	1
435	HG01344	0
436	HG01345	1
437	HG01348	0
438	HG01350	0
439	HG01351	0
440	HG01353	0
441	HG01354	0
442	HG01356	0
443	HG01357	0
444	HG01359	0
445	HG01360	0
446	HG01362	0
447	HG01363	0
448	HG01365	0
449	HG01366	0
450	HG01369	1
451	HG01372	0
452	HG01374	0
453	HG01375	0
454	HG01377	0
455	HG01378	0
456	HG01383	0
457	HG01384	0
458	HG01389	0
459	HG01390	0
460	HG01392	0
461	HG01393	0
462	HG01395	0
463	HG01396	0
464	HG01398	0
465	HG01402	0
466	HG01403	0
467	HG01405	0
468	HG01412	0
469	HG01413	0
470	HG01414	0
471	HG01431	0
472	HG01432	0
473	HG01435	0
474	HG01437	0
475	HG01438	0
476	HG01440	0
477	HG01441	0
478	HG01443	0
479	HG01444	0
480	HG01447	0
481	HG01455	0
