FID	IID	Phenotype_1
0	HG00096	0.34229138668176495
1	HG00097	0.44045225453654074
2	HG00099	0.4659298828196661
3	HG00100	0.15581923687097685
4	HG00101	0.4443056140166912
5	HG00102	0.24796091561859163
6	HG00103	0.6197269423868859
7	HG00105	0.4302922860674547
8	HG00106	0.5792200471963322
9	HG00107	0.3486381640876058
10	HG00108	0.3936115981165622
11	HG00109	0.5165419608552944
12	HG00110	0.5265015690108857
13	HG00111	0.5836028562198804
14	HG00112	0.33454695612448515
15	HG00113	0.4538403946762023
16	HG00114	0.4383688648404252
17	HG00115	0.3014814523571196
18	HG00116	0.24479038280036736
19	HG00117	0.7219696460141991
20	HG00118	0.4629045414145974
21	HG00119	0.3132046236923664
22	HG00120	0.4038170212794039
23	HG00121	0.36260174147373253
24	HG00122	0.3656974717664463
25	HG00123	0.5299547696665502
26	HG00125	0.4483167834001228
27	HG00126	0.5361732555967115
28	HG00127	0.508532096532518
29	HG00128	0.49784895947107305
30	HG00129	0.35322406373723414
31	HG00130	0.4316528268031013
32	HG00131	0.3676892369858888
33	HG00132	0.46305979141672327
34	HG00133	0.27190773225280473
35	HG00136	0.15844694366118325
36	HG00137	0.329979157676265
37	HG00138	0.2743049450470445
38	HG00139	0.18448259986783938
39	HG00140	0.46187648956212335
40	HG00141	0.3424871438219802
41	HG00142	0.4220823562450311
42	HG00143	0.34484081108777753
43	HG00145	0.2515878487484894
44	HG00146	0.21460140096037636
45	HG00148	0.40753655594636023
46	HG00149	0.43390370226524894
47	HG00150	0.31625908100743566
48	HG00151	0.40084448072061224
49	HG00154	0.21022203521810912
50	HG00155	0.2846434552973448
51	HG00157	0.2410196268063211
52	HG00158	0.34814678766163304
53	HG00159	0.46033356829124417
54	HG00160	0.5401960164016021
55	HG00171	0.614259273788332
56	HG00173	0.15908244907749755
57	HG00174	0.5441340163835678
58	HG00176	0.603373482617977
59	HG00177	0.6039625345861506
60	HG00178	0.26281704354969365
61	HG00179	0.5347893139051468
62	HG00180	0.6666605217948378
63	HG00181	0.14972350099328954
64	HG00182	0.46326243257044525
65	HG00183	0.5046947272751575
66	HG00185	0.386241942136552
67	HG00186	0.5027814786057359
68	HG00187	0.34761518978995265
69	HG00188	0.37285901981934344
70	HG00189	0.2859778594322052
71	HG00190	0.44397549430848543
72	HG00231	0.47444266464084706
73	HG00232	0.5166136770354594
74	HG00233	0.24779934652439486
75	HG00234	0.387959158563937
76	HG00235	0.5554473326704158
77	HG00236	0.4860159259432639
78	HG00237	0.23029573831131256
79	HG00238	0.5146671744896671
80	HG00239	0.33596766820526597
81	HG00240	0.5021150039934152
82	HG00242	0.49763451351244087
83	HG00243	0.5315926800504758
84	HG00244	0.5486943622530127
85	HG00245	0.17902656414551937
86	HG00246	0.16862771503745969
87	HG00250	0.48788607314197596
88	HG00251	0.3860184704142717
89	HG00252	0.6459742209583816
90	HG00253	0.45795825290015363
91	HG00254	0.3515303396235042
92	HG00255	0.5279055339074218
93	HG00256	0.30850439604610314
94	HG00257	0.15614190110344064
95	HG00258	0.6446216418562177
96	HG00259	0.19054848344039504
97	HG00260	0.5039665071259722
98	HG00261	0.5833371775826788
