FID	IID	Phenotype_1
HG00096	HG00096	0.38035103816730975
HG00097	HG00097	0.47369596266984176
HG00099	HG00099	0.4749900804275681
HG00100	HG00100	0.15320739821363752
HG00101	HG00101	0.22434087498598163
HG00102	HG00102	0.21903462126912437
HG00103	HG00103	0.4787417659265362
HG00105	HG00105	0.27376067363670425
HG00106	HG00106	0.5749146437320508
HG00107	HG00107	0.2984179472632974
HG00108	HG00108	0.34954317461404893
HG00109	HG00109	0.4680779088891035
HG00110	HG00110	0.34150585979457165
HG00111	HG00111	0.6716711469294957
HG00112	HG00112	0.4483070602919039
HG00113	HG00113	0.27572397997965253
HG00114	HG00114	0.26361896842683735
HG00115	HG00115	0.41315891502811797
HG00116	HG00116	0.21310982628452288
HG00117	HG00117	0.5771635523258164
HG00118	HG00118	0.5996187518125562
HG00119	HG00119	0.26919853277749695
HG00120	HG00120	0.2357015800949909
HG00121	HG00121	0.27178498857757327
HG00122	HG00122	0.2562305060143262
HG00123	HG00123	0.320811956823631
HG00125	HG00125	0.2987595469607919
HG00126	HG00126	0.2859805873982384
HG00127	HG00127	0.33459289910190637
HG00128	HG00128	0.6504046354992717
HG00129	HG00129	0.32475854033422574
HG00130	HG00130	0.23464585539477875
HG00131	HG00131	0.685541221793887
HG00132	HG00132	0.2777448997781115
HG00133	HG00133	0.2900186391756133
HG00136	HG00136	0.3120645281949537
HG00137	HG00137	0.26858513058111594
HG00138	HG00138	0.3447847557025202
HG00139	HG00139	0.11486638063950828
HG00140	HG00140	0.21582628452912406
HG00141	HG00141	0.20836686448430025
HG00142	HG00142	0.2993246530529156
HG00143	HG00143	0.22194442682371393
HG00145	HG00145	0.3609511585987282
HG00146	HG00146	0.3517922940776348
HG00148	HG00148	0.5902349288663358
HG00149	HG00149	0.3506433267648322
HG00150	HG00150	0.4006899090836844
HG00151	HG00151	0.24076213025568954
HG00154	HG00154	0.6090538031555494
HG00155	HG00155	0.44657982904542914
HG00157	HG00157	0.1267960884192294
HG00158	HG00158	0.43552651591743313
HG00159	HG00159	0.3144821936766498
HG00160	HG00160	0.527762890789552
HG00171	HG00171	0.5793072085762935
HG00173	HG00173	0.14468063339097054
HG00174	HG00174	0.4284099972761501
HG00176	HG00176	0.5363783698113141
HG00177	HG00177	0.4068190511933922
HG00178	HG00178	0.37546597714802943
HG00179	HG00179	0.6600611909178571
HG00180	HG00180	0.5856385115080528
HG00181	HG00181	0.25842631578676495
HG00182	HG00182	0.6649241785818941
HG00183	HG00183	0.3457510979131984
HG00185	HG00185	0.5023009217139844
HG00186	HG00186	0.4894134299788735
HG00187	HG00187	0.18125390245034476
HG00188	HG00188	0.5262777714075079
HG00189	HG00189	0.38392323988965227
HG00190	HG00190	0.2764327729037033
HG00231	HG00231	0.43863292126614783
HG00232	HG00232	0.3338329995733756
HG00233	HG00233	0.37464052367572565
HG00234	HG00234	0.43559684358049533
HG00235	HG00235	0.5179027518277084
HG00236	HG00236	0.48774123491916366
HG00237	HG00237	0.16213458418372415
HG00238	HG00238	0.3120642631139106
HG00239	HG00239	0.40944057386772015
HG00240	HG00240	0.47452600397274547
HG00242	HG00242	0.5031966363413823
HG00243	HG00243	0.3538154110779575
HG00244	HG00244	0.454270614666598
HG00245	HG00245	0.37680237586809
HG00246	HG00246	0.1587274958755289
HG00250	HG00250	0.6098778472380112
HG00251	HG00251	0.35177854656205704
HG00252	HG00252	0.810538921366237
HG00253	HG00253	0.7654036083801333
HG00254	HG00254	0.4848097340168061
HG00255	HG00255	0.5270446760240491
HG00256	HG00256	0.20110755654098803
HG00257	HG00257	0.5701343607658156
HG00258	HG00258	0.34319843521418747
HG00259	HG00259	0.3015181354828519
HG00260	HG00260	0.4934401884116204
HG00261	HG00261	0.5162281785320363
HG00262	HG00262	0.45656915714028673
HG00263	HG00263	0.1351032839657643
HG00264	HG00264	0.5219668762608126
HG00265	HG00265	0.15332629194127692
HG00266	HG00266	0.1607039455336164
HG00267	HG00267	0.48923108403772003
HG00268	HG00268	0.43065379610012094
HG00269	HG00269	0.4681009315525848
HG00271	HG00271	0.5065774191463078
HG00272	HG00272	0.4120607085950321
HG00273	HG00273	0.43251455891136154
HG00274	HG00274	0.36445277061063996
HG00275	HG00275	0.4216131316286532
HG00276	HG00276	0.5611725296703155
HG00277	HG00277	0.23935161600712693
HG00278	HG00278	0.7358517446538806
HG00280	HG00280	0.4022933914422509
HG00281	HG00281	0.40085294919445696
HG00282	HG00282	0.44843938100614067
HG00284	HG00284	0.4308043069872804
HG00285	HG00285	0.3065775817040628
HG00288	HG00288	0.4589218333515661
HG00290	HG00290	0.39307347977292445
HG00304	HG00304	0.31639827337369486
HG00306	HG00306	0.24481998512152603
HG00308	HG00308	0.18357169775911522
HG00309	HG00309	0.44720438546097047
HG00310	HG00310	0.4969375200398226
HG00311	HG00311	0.3897087614347705
HG00313	HG00313	0.25820020827051193
HG00315	HG00315	0.4996295190408625
HG00318	HG00318	0.43592584815044233
HG00319	HG00319	0.40637247072136334
HG00320	HG00320	0.7981151942978629
HG00321	HG00321	0.269253058363896
HG00323	HG00323	0.6589134745736316
HG00324	HG00324	0.35020435352233076
HG00325	HG00325	0.6027784505887437
HG00326	HG00326	0.4193271867993557
HG00327	HG00327	0.2223531136488683
HG00328	HG00328	0.5379037997964172
HG00329	HG00329	0.6190281665590774
HG00330	HG00330	0.11879324524508808
HG00331	HG00331	0.7251285742508302
HG00332	HG00332	0.2634017108579392
HG00334	HG00334	0.5009723008838759
HG00335	HG00335	0.6116508648159468
HG00336	HG00336	0.5425509328861274
HG00337	HG00337	0.21761880298582584
HG00338	HG00338	0.437375688805111
HG00339	HG00339	0.5944333697200896
HG00341	HG00341	0.503902625424158
HG00342	HG00342	0.6117182317798363
HG00343	HG00343	0.43152168698893956
HG00344	HG00344	0.29498308379224825
HG00345	HG00345	0.2664897885306438
HG00346	HG00346	0.3354655834663176
HG00349	HG00349	0.48120734736407395
HG00350	HG00350	0.3704409002809175
HG00351	HG00351	0.26050326765396853
HG00353	HG00353	0.4928340318173412
HG00355	HG00355	0.5392686649256626
HG00356	HG00356	0.5068150008316742
HG00357	HG00357	0.31246673350979887
HG00358	HG00358	0.65744373676539
HG00360	HG00360	0.46773989972163976
HG00361	HG00361	0.3376515843937641
HG00362	HG00362	0.4066056559777139
HG00364	HG00364	0.46878259562156266
HG00365	HG00365	0.5911153813819024
HG00366	HG00366	0.31009840994220117
HG00367	HG00367	0.4445090246564912
HG00368	HG00368	0.5504470836498984
HG00369	HG00369	0.6666696050890987
HG00371	HG00371	0.46193901652184033
HG00372	HG00372	0.3075002892609961
HG00373	HG00373	0.516014186694447
HG00375	HG00375	0.21911120556666808
HG00376	HG00376	0.5969508564778214
HG00378	HG00378	0.27179852328303433
HG00379	HG00379	0.7928644467830569
HG00380	HG00380	0.584747590510676
HG00381	HG00381	0.35656830970219217
HG00382	HG00382	0.3122157488269286
HG00383	HG00383	0.24514416687137544
HG00384	HG00384	0.686347126721002
HG00403	HG00403	0.43877733568021643
HG00404	HG00404	0.43947758369394324
HG00406	HG00406	0.6880256785229003
HG00407	HG00407	0.4864071557878681
HG00409	HG00409	0.6542123619791611
HG00410	HG00410	0.7371089090701468
HG00419	HG00419	0.5851768256315475
HG00421	HG00421	0.4295389822691874
HG00422	HG00422	0.5158058462429522
HG00428	HG00428	0.7393548471911208
HG00436	HG00436	0.6648100154189778
HG00437	HG00437	0.583961181599002
HG00442	HG00442	0.5881104357940313
HG00443	HG00443	0.8975682743590138
HG00445	HG00445	0.3585327315369967
HG00446	HG00446	0.6538791628253943
HG00448	HG00448	0.757923670551814
HG00449	HG00449	0.39681144068223567
HG00451	HG00451	0.6069131749253309
HG00452	HG00452	0.5867621349514176
HG00457	HG00457	0.5053103195416863
HG00458	HG00458	0.32762800536233827
HG00463	HG00463	0.6214353294347457
HG00464	HG00464	0.6768581409866269
HG00472	HG00472	0.5871876873551252
HG00473	HG00473	0.39620796551413817
HG00475	HG00475	0.6098646622800561
HG00476	HG00476	0.5469275415744818
HG00478	HG00478	0.6108098631344144
HG00479	HG00479	0.7059136463467973
HG00500	HG00500	0.39918870783505783
HG00513	HG00513	0.8030496061265718
HG00524	HG00524	0.7250521202240595
HG00525	HG00525	0.6426105071577853
HG00530	HG00530	0.3558653756159561
HG00531	HG00531	0.6355662616914908
HG00533	HG00533	0.5331850100854462
HG00534	HG00534	0.702558217816217
HG00536	HG00536	0.5001338391618647
HG00537	HG00537	0.5613995063322187
HG00542	HG00542	0.5833924981695419
HG00543	HG00543	0.5053556325907026
HG00551	HG00551	0.421168514972368
HG00553	HG00553	0.5594599324292892
HG00554	HG00554	0.42408046927146315
HG00556	HG00556	0.7514106143901138
HG00557	HG00557	0.42137024577494014
HG00559	HG00559	0.46471748585142436
HG00560	HG00560	0.48588372987095907
HG00565	HG00565	0.4282312283164358
HG00566	HG00566	0.6625893748531665
HG00580	HG00580	0.3623768716114823
HG00581	HG00581	0.5204421065757769
HG00583	HG00583	0.5090066974881141
HG00584	HG00584	0.7608003628664963
HG00589	HG00589	0.9053373351910318
HG00590	HG00590	0.6908222970809308
HG00592	HG00592	0.5224208540290066
HG00593	HG00593	0.5803455743633499
HG00595	HG00595	0.6863504945308396
HG00596	HG00596	0.28849953954090707
HG00598	HG00598	0.7317333622311958
HG00599	HG00599	0.8291873320933905
HG00607	HG00607	0.6415255090506375
HG00608	HG00608	0.5319690939479035
HG00610	HG00610	0.6027374276130967
HG00611	HG00611	0.6658343976372765
HG00613	HG00613	0.6846918778642059
HG00614	HG00614	0.3438292840098691
HG00619	HG00619	0.3976680515796406
HG00620	HG00620	0.4509513910360636
HG00622	HG00622	0.3432393967204049
HG00623	HG00623	0.45105116411970053
HG00625	HG00625	0.38884924265504506
HG00626	HG00626	0.45728054218342723
HG00628	HG00628	0.8182357185718673
HG00629	HG00629	0.846771230041538
HG00631	HG00631	0.5508433913812156
HG00632	HG00632	0.6047662954111194
HG00634	HG00634	0.6506902214970951
HG00637	HG00637	0.38621943154463323
HG00638	HG00638	0.5102831458331579
HG00640	HG00640	0.30138134640782377
HG00641	HG00641	0.5865907032082925
HG00650	HG00650	0.4206812939863183
HG00651	HG00651	0.37707399069231684
HG00653	HG00653	0.3961853521195902
HG00654	HG00654	0.7802131091491781
HG00656	HG00656	0.8340721242517246
HG00657	HG00657	0.7697527654939423
HG00662	HG00662	0.6813762406558981
HG00663	HG00663	0.6609247639362076
HG00671	HG00671	0.6756668391314246
HG00672	HG00672	0.7697438029032879
HG00674	HG00674	0.7406949964177184
HG00675	HG00675	0.6572700347777722
HG00683	HG00683	0.5127896603746465
HG00684	HG00684	0.5642230569165049
HG00689	HG00689	0.5576531638382161
HG00690	HG00690	0.3552168222014115
HG00692	HG00692	0.6566434147514335
HG00693	HG00693	0.5112381657055968
HG00698	HG00698	0.5742700487058064
HG00699	HG00699	0.6178827819250385
HG00701	HG00701	0.6904815703724716
HG00704	HG00704	0.5284890332105565
HG00705	HG00705	0.504846727134081
HG00707	HG00707	0.4497960081031564
HG00708	HG00708	0.5658389831619094
HG00717	HG00717	0.5789277636298389
HG00728	HG00728	0.406241573771612
HG00729	HG00729	0.7029217872097988
HG00731	HG00731	0.6659401960457199
HG00732	HG00732	0.5617102428425137
HG00734	HG00734	0.34328387391234916
HG00736	HG00736	0.39940939535944386
HG00737	HG00737	0.6883834185841661
HG00739	HG00739	0.07982157060070501
HG00740	HG00740	0.5491758117629034
HG00742	HG00742	0.5269483716466288
HG00743	HG00743	0.3235557375644892
HG00759	HG00759	0.6882391960046321
HG00766	HG00766	0.7179704329049376
HG00844	HG00844	0.6805128821250057
HG00851	HG00851	0.7393798165873965
HG00864	HG00864	0.4077975055772186
HG00867	HG00867	0.6153573884887874
HG00879	HG00879	0.6374850135162312
HG00881	HG00881	0.6557092424345868
HG00956	HG00956	0.7611194206629776
HG00978	HG00978	0.5804455308673103
HG00982	HG00982	0.4175107128107063
HG01028	HG01028	0.4702544403434392
HG01029	HG01029	0.8078116341139686
HG01031	HG01031	0.488701515085772
HG01046	HG01046	0.6499424958704482
HG01047	HG01047	0.34122265002207536
HG01048	HG01048	0.7222405467182104
HG01049	HG01049	0.3900136434936007
HG01051	HG01051	0.1779178843311033
HG01052	HG01052	0.41557548226607044
HG01054	HG01054	0.22229583788644294
HG01055	HG01055	0.2609540447337831
HG01058	HG01058	0.5776183712905609
HG01060	HG01060	0.30449906807212196
HG01061	HG01061	0.4872153991319255
HG01063	HG01063	0.38948468536029524
HG01064	HG01064	0.4372862809313852
HG01066	HG01066	0.485008735321076
HG01067	HG01067	0.36908720271937556
HG01069	HG01069	0.20120149427269982
HG01070	HG01070	0.3048889034105285
HG01072	HG01072	0.35924103809319474
HG01073	HG01073	0.4691207333834111
HG01075	HG01075	0.08341015681442114
HG01077	HG01077	0.41332652556742155
HG01079	HG01079	0.24688608626476372
HG01080	HG01080	0.6098931379343808
HG01082	HG01082	0.30869407901652574
HG01083	HG01083	0.8112901192375094
HG01085	HG01085	0.23434670356555365
HG01086	HG01086	0.7591640122240273
HG01088	HG01088	0.2949686596291029
HG01089	HG01089	0.6673533085428475
HG01092	HG01092	0.2349083166765444
HG01094	HG01094	0.28764659080963934
HG01095	HG01095	0.44202465462670665
HG01097	HG01097	0.25380629296891855
HG01098	HG01098	0.27839520138928686
HG01101	HG01101	0.39393989517278144
HG01102	HG01102	0.7514034711374384
HG01104	HG01104	0.3310021445183047
HG01105	HG01105	0.08422757053878248
HG01107	HG01107	0.23855127933204096
HG01108	HG01108	0.41525421248750605
HG01110	HG01110	0.44584475130983714
HG01111	HG01111	0.23593784831055187
HG01112	HG01112	0.08571649322387745
