FID	IID	Phenotype_1
HG00096	HG00096	0.32825737518051745
HG00097	HG00097	0.553162913796431
HG00099	HG00099	0.4424963049738069
HG00100	HG00100	0.532840063281627
HG00101	HG00101	0.16855476224904953
HG00102	HG00102	0.4837740302996857
HG00103	HG00103	0.3697390968328522
HG00105	HG00105	0.474915141940996
HG00106	HG00106	0.580822244613486
HG00107	HG00107	0.41372174675002527
HG00108	HG00108	0.17387545945448002
HG00109	HG00109	0.4041092446038406
HG00110	HG00110	0.3470916201078829
HG00111	HG00111	0.5100067483155354
HG00112	HG00112	0.334163596163633
HG00113	HG00113	0.31024603367346826
HG00114	HG00114	0.4420051850294285
HG00115	HG00115	0.3140863729327047
HG00116	HG00116	0.4725362655081715
HG00117	HG00117	0.2839164918223323
HG00118	HG00118	0.45514431995993215
HG00119	HG00119	0.32954435373656843
HG00120	HG00120	0.3156961288863072
HG00121	HG00121	0.49233273682124035
HG00122	HG00122	0.34047987643400723
HG00123	HG00123	0.4946861892407297
HG00125	HG00125	0.5695453548963135
HG00126	HG00126	0.6712393982449956
HG00127	HG00127	0.37907199198881525
HG00128	HG00128	0.38916911247536207
HG00129	HG00129	0.07881363321939393
HG00130	HG00130	0.5309014734487673
HG00131	HG00131	0.6763557354175255
HG00132	HG00132	0.5229121302634763
HG00133	HG00133	0.17156890681280168
HG00136	HG00136	0.5029147941758401
HG00137	HG00137	0.45090699084464786
HG00138	HG00138	0.5206508584954427
HG00139	HG00139	0.5314344509013305
HG00140	HG00140	0.26951878098746584
HG00141	HG00141	0.4112380062417931
HG00142	HG00142	0.4089242046227471
HG00143	HG00143	0.4007720194668945
HG00145	HG00145	0.426996594467447
HG00146	HG00146	0.4507559107508242
HG00148	HG00148	0.4069327102162137
HG00149	HG00149	0.3592212866724839
HG00150	HG00150	0.46276208218584747
HG00151	HG00151	0.5570962984580266
HG00154	HG00154	0.4056911870036432
HG00155	HG00155	0.4384428207418448
HG00157	HG00157	0.4166921836751208
HG00158	HG00158	0.2878359262425014
HG00159	HG00159	0.4119114630024535
HG00160	HG00160	0.41739411461688275
HG00171	HG00171	0.6118385950220209
HG00173	HG00173	0.34350977826213724
HG00174	HG00174	0.5848308856763693
HG00176	HG00176	0.8358611174801629
HG00177	HG00177	0.8138774102071729
HG00178	HG00178	0.41825677817945667
HG00179	HG00179	0.6067918286255843
HG00180	HG00180	0.4871206456391488
HG00181	HG00181	0.26494910843789804
HG00182	HG00182	0.30451312280835996
HG00183	HG00183	0.48137176351846805
HG00185	HG00185	0.2743328716051539
