FID	IID	Phenotype_1
HG00096	HG00096	0.4135701031512016
HG00097	HG00097	0.483419396284556
HG00099	HG00099	0.5301557130277955
HG00100	HG00100	0.37684244491277075
HG00101	HG00101	0.4669652983535677
HG00102	HG00102	0.42998346622729616
HG00103	HG00103	0.3885182618946679
HG00105	HG00105	0.6376402555838019
HG00106	HG00106	0.4114676154576412
HG00107	HG00107	0.562454686181371
HG00108	HG00108	0.5055942612388732
HG00109	HG00109	0.5410237100510654
HG00110	HG00110	0.4071403512998617
HG00111	HG00111	0.40841608814523
HG00112	HG00112	0.2551130122485655
HG00113	HG00113	0.5248305118757236
HG00114	HG00114	0.5407363544304558
HG00115	HG00115	0.17741922452997846
HG00116	HG00116	0.3280872755910675
HG00117	HG00117	0.425342937373909
HG00118	HG00118	0.40237354184091534
HG00119	HG00119	0.4265480230805935
HG00120	HG00120	0.4509357268261334
HG00121	HG00121	0.4855948980326786
HG00122	HG00122	0.490971366611639
HG00123	HG00123	0.34422018869187165
HG00125	HG00125	0.5264844940041336
HG00126	HG00126	0.4975616851703925
HG00127	HG00127	0.37479492650674934
HG00128	HG00128	0.46701674833593726
HG00129	HG00129	0.32852742121081135
HG00130	HG00130	0.5590019990339701
HG00131	HG00131	0.5195222631325945
HG00132	HG00132	0.6380640668541135
HG00133	HG00133	0.4615527819843882
HG00136	HG00136	0.31150494769223125
HG00137	HG00137	0.35594332150156893
HG00138	HG00138	0.4838173295341782
HG00139	HG00139	0.26143965908061756
HG00140	HG00140	0.21968739950981112
HG00141	HG00141	0.3828873823418486
HG00142	HG00142	0.34634616535761586
HG00143	HG00143	0.3970013661235055
HG00145	HG00145	0.4348384219047866
HG00146	HG00146	0.38209516336920557
HG00148	HG00148	0.5171864966705851
HG00149	HG00149	0.278835751148322
HG00150	HG00150	0.26309807074494324
HG00151	HG00151	0.33317470315822967
HG00154	HG00154	0.41253042859212113
HG00155	HG00155	0.8266751636494859
HG00157	HG00157	0.3544407690060786
HG00158	HG00158	0.3618310565455442
HG00159	HG00159	0.3758483391863519
HG00160	HG00160	0.5383445388722563
HG00171	HG00171	0.37594457742948284
HG00173	HG00173	0.4089073274074685
HG00174	HG00174	0.3850829696804437
HG00176	HG00176	0.3793184915617651
HG00177	HG00177	0.3634995589165528
HG00178	HG00178	0.3944456772578557
HG00179	HG00179	0.3837945266471026
HG00180	HG00180	0.5289776578315498
HG00181	HG00181	0.42715708017529735
HG00182	HG00182	0.43253578485458044
HG00183	HG00183	0.35830439950585524
HG00185	HG00185	0.5125906522272877
HG00186	HG00186	0.5311936880469668
HG00187	HG00187	0.49184950668688915
HG00188	HG00188	0.39780437656956036
HG00189	HG00189	0.6116550736472806
HG00190	HG00190	0.4180772850082279
HG00231	HG00231	0.4294738316590627
HG00232	HG00232	0.5017759427191208
HG00233	HG00233	0.40446432294145424
HG00234	HG00234	0.38111586576626694
HG00235	HG00235	0.3870643141847147
HG00236	HG00236	0.5870552927083246
HG00237	HG00237	0.3883839007936264
HG00238	HG00238	0.3943773040829959
HG00239	HG00239	0.25060499951569853
HG00240	HG00240	0.7171642145426051
HG00242	HG00242	0.3880878524286182
HG00243	HG00243	0.4639362453421561
HG00244	HG00244	0.5384853317228376
HG00245	HG00245	0.6162776951642531
HG00246	HG00246	0.5056826260643749
HG00250	HG00250	0.4156016411458472
HG00251	HG00251	0.3914444984134694
HG00252	HG00252	0.3702670614904965
HG00253	HG00253	0.3585889670115994
HG00254	HG00254	0.44536121690467967
HG00255	HG00255	0.5048334770494006
HG00256	HG00256	0.4312668969388194
HG00257	HG00257	0.548377975779056
HG00258	HG00258	0.5888950490837114
HG00259	HG00259	0.45904630975469407
HG00260	HG00260	0.37181812886362764
HG00261	HG00261	0.5583156656012743
HG00262	HG00262	0.4420102758956323
HG00263	HG00263	0.3532055988257739
HG00264	HG00264	0.4886536931555901
HG00265	HG00265	0.32244538032555703
HG00266	HG00266	0.39792677202268606
HG00267	HG00267	0.35806411770249347
HG00268	HG00268	0.3313538290332524
HG00269	HG00269	0.5073399692634389
HG00271	HG00271	0.502851380250517
HG00272	HG00272	0.44551477806302775
HG00273	HG00273	0.5138370661458127
HG00274	HG00274	0.4024672555551235
HG00275	HG00275	0.31874761589471307
HG00276	HG00276	0.6808619442668882
HG00277	HG00277	0.422039087831137
HG00278	HG00278	0.6575858414189996
HG00280	HG00280	0.4334202216220325
HG00281	HG00281	0.3099611206981204
HG00282	HG00282	0.3368807538561618
HG00284	HG00284	0.48012254541303867
HG00285	HG00285	0.3501628081824415
HG00288	HG00288	0.39166500755225003
HG00290	HG00290	0.52519871074221
HG00304	HG00304	0.4544704868620947
HG00306	HG00306	0.46510710215121603
HG00308	HG00308	0.5116761070290448
HG00309	HG00309	0.6789734995756277
HG00310	HG00310	0.35219419269855456
HG00311	HG00311	0.4978535158851909
HG00313	HG00313	0.4008328756042077
HG00315	HG00315	0.3072264617504797
HG00318	HG00318	0.40564117786710463
HG00319	HG00319	0.34892270058719776
HG00320	HG00320	0.3942413168638808
HG00321	HG00321	0.38888987324758956
HG00323	HG00323	0.627329894802507
HG00324	HG00324	0.4337657057040835
HG00325	HG00325	0.5971477529706329
HG00326	HG00326	0.31800468554588585
HG00327	HG00327	0.37447265437948996
HG00328	HG00328	0.4132429569851241
HG00329	HG00329	0.4332548526208327
HG00330	HG00330	0.5026272077193966
HG00331	HG00331	0.44163063040766803
HG00332	HG00332	0.3405019570120561
HG00334	HG00334	0.41317709798995156
HG00335	HG00335	0.38690940470476914
HG00336	HG00336	0.4029631792607642
HG00337	HG00337	0.4829920371964714
HG00338	HG00338	0.47733069579502385
HG00339	HG00339	0.49845906096053494
HG00341	HG00341	0.37119841364633693
HG00342	HG00342	0.3916854532254309
HG00343	HG00343	0.2946156084328535
HG00344	HG00344	0.45607326495192796
HG00345	HG00345	0.3633916589755302
HG00346	HG00346	0.3230385282690405
HG00349	HG00349	0.2878182039688864
HG00350	HG00350	0.38957360161686316
HG00351	HG00351	0.5572892804697726
HG00353	HG00353	0.33634177215905425
HG00355	HG00355	0.41328266501987737
HG00356	HG00356	0.33670730561665424
HG00357	HG00357	0.22267098723559706
HG00358	HG00358	0.4069001492425002
HG00360	HG00360	0.339979178290356
HG00361	HG00361	0.29843142782045523
HG00362	HG00362	0.3780981560867546
HG00364	HG00364	0.3797132696491643
HG00365	HG00365	0.36858794148110946
HG00366	HG00366	0.36784926591685274
HG00367	HG00367	0.4903888519331685
HG00368	HG00368	0.3746668606632146
HG00369	HG00369	0.4315572545021902
HG00371	HG00371	0.31511180378799536
HG00372	HG00372	0.497428055040716
HG00373	HG00373	0.35820009374670114
HG00375	HG00375	0.4450008926665786
HG00376	HG00376	0.2318608085567683
HG00378	HG00378	0.3744167340628875
HG00379	HG00379	0.3519300776088939
HG00380	HG00380	0.5126951867814156
HG00381	HG00381	0.3479352073417437
HG00382	HG00382	0.3216337596191815
HG00383	HG00383	0.49209127823860405
HG00384	HG00384	0.33194162284194306
HG00403	HG00403	0.5969830191916513
HG00404	HG00404	0.47714215408129923
HG00406	HG00406	0.47149399620696314
HG00407	HG00407	0.4890618686067363
HG00409	HG00409	0.5529420946315422
HG00410	HG00410	0.6338347244115148
HG00419	HG00419	0.5675706231278911
HG00421	HG00421	0.6572643521686188
HG00422	HG00422	0.44361013425622536
HG00428	HG00428	0.5438813948896436
HG00436	HG00436	0.30757578674725117
HG00437	HG00437	0.27441040064720507
HG00442	HG00442	0.4589715486501469
HG00443	HG00443	0.5285827095609519
HG00445	HG00445	0.6111399585933527
HG00446	HG00446	0.4390132196542694
HG00448	HG00448	0.7947771123529661
HG00449	HG00449	0.5870568981525488
HG00451	HG00451	0.5138077382048716
