FID	IID	Phenotype_1
HG00096	HG00096	0.4419405393173151
HG00097	HG00097	0.2843558247058149
HG00099	HG00099	0.13580718885418508
HG00100	HG00100	0.24666821132701533
HG00101	HG00101	0.6019982122199978
HG00102	HG00102	0.27660487652775245
HG00103	HG00103	0.31543787106792764
HG00105	HG00105	0.5527006077680672
HG00106	HG00106	0.17404459712420173
HG00107	HG00107	0.4105773455494734
HG00108	HG00108	0.4311704495924366
HG00109	HG00109	0.20726434313963044
HG00110	HG00110	0.5900865502296595
HG00111	HG00111	0.5418101811123158
HG00112	HG00112	0.5295672220371928
HG00113	HG00113	0.33752341936494634
HG00114	HG00114	0.48925869961685375
HG00115	HG00115	0.8963848939361437
HG00116	HG00116	0.2664396818920981
HG00117	HG00117	0.37946708089512743
HG00118	HG00118	0.49275421564096306
HG00119	HG00119	0.3911758982553653
HG00120	HG00120	0.4387313972633527
HG00121	HG00121	0.4048175548039712
HG00122	HG00122	0.46164071883905144
HG00123	HG00123	0.48315343468400845
HG00125	HG00125	0.48613622809495527
HG00126	HG00126	0.4367765655516531
HG00127	HG00127	0.4833093890735307
HG00128	HG00128	0.5643207604899493
HG00129	HG00129	0.42236372393446936
HG00130	HG00130	0.39566917533026746
HG00131	HG00131	0.5927176253839952
HG00132	HG00132	0.47449860359761437
HG00133	HG00133	0.38887195289511284
HG00136	HG00136	0.5805177135537677
HG00137	HG00137	0.6139911564345713
HG00138	HG00138	0.4072482550796735
HG00139	HG00139	0.5847621427003493
HG00140	HG00140	0.6149752656933926
HG00141	HG00141	0.6612782741533583
HG00142	HG00142	0.5581705346776704
HG00143	HG00143	0.8034227827266284
HG00145	HG00145	0.7478113190294651
HG00146	HG00146	0.25729759395592405
HG00148	HG00148	0.6085883901040859
HG00149	HG00149	0.4466902723344517
HG00150	HG00150	0.5102758741072609
HG00151	HG00151	0.6148867834279949
HG00154	HG00154	0.1845488747044073
HG00155	HG00155	0.5269949919809481
HG00157	HG00157	0.6725913457802876
HG00158	HG00158	0.275916919792524
HG00159	HG00159	0.19983803488776233
HG00160	HG00160	0.3817132665601708
HG00171	HG00171	0.49421350416927334
