Prefix,True Positives,False Positives,False Negatives,True Negatives,Identified Causal SNPs,True Causal SNPs
addit2_ld_seed10,5,2998,9,2221,3003,14
addit2_ld_seed3,6,3170,7,2050,3176,13
addit2_ld_seed4,8,1494,7,3724,1502,15
addit2_ld_seed5,6,1169,9,4049,1175,15
addit2_ld_seed6,7,3147,6,2073,3154,13
addit2_ld_seed7,8,2670,5,2550,2678,13
addit2_ld_seed8,6,2617,8,2602,2623,14
addit2_ld_seed9,4,2554,9,2666,2558,13
addit2_seed10,6,1434,7,3786,1440,13
addit2_seed3,7,1978,6,3242,1985,13
addit2_seed4,5,2925,5,2298,2930,10
addit2_seed5,6,2996,8,2223,3002,14
addit2_seed6,3,1410,9,3811,1413,12
addit2_seed7,5,2874,7,2347,2879,12
addit2_seed8,1,1581,10,3641,1582,11
addit2_seed9,4,1777,6,3446,1781,10
addit2nd3_seed10,3,867,10,4353,870,13
addit2nd3_seed3,6,2295,7,2925,2301,13
addit2nd3_seed4,4,3135,8,2086,3139,12
addit2nd3_seed5,5,1355,10,3863,1360,15
addit2nd3_seed6,5,965,7,4256,970,12
addit2nd3_seed7,4,945,6,4278,949,10
addit2nd3_seed8,5,2533,9,2686,2538,14
addit2nd3_seed9,4,2367,8,2854,2371,12
b_lin_ld_seed10,6,1650,9,3568,1656,15
b_lin_ld_seed3,5,1465,7,3756,1470,12
b_lin_ld_seed4,8,1463,4,3758,1471,12
b_lin_ld_seed5,1,1194,10,4028,1195,11
b_lin_ld_seed6,4,518,9,4702,522,13
b_lin_ld_seed7,4,2067,6,3156,2071,10
b_lin_ld_seed8,4,1527,7,3695,1531,11
b_lin_ld_seed9,4,2388,10,2831,2392,14
b_lin_seed10,5,604,10,4614,609,15
b_lin_seed3,4,1221,8,4000,1225,12
b_lin_seed4,5,1957,7,3264,1962,12
b_lin_seed5,6,603,5,4619,609,11
b_lin_seed6,5,427,8,4793,432,13
b_lin_seed7,3,2036,7,3187,2039,10
b_lin_seed8,5,1941,6,3281,1946,11
b_lin_seed9,7,2335,7,2884,2342,14
q_lin_ld_seed10,5,2448,10,2770,2453,15
q_lin_ld_seed3,5,2287,7,2934,2292,12
q_lin_ld_seed4,8,1643,4,3578,1651,12
q_lin_ld_seed5,3,2019,8,3203,2022,11
q_lin_ld_seed6,4,594,9,4626,598,13
q_lin_ld_seed7,4,2470,6,2753,2474,10
q_lin_ld_seed8,3,1256,8,3966,1259,11
q_lin_ld_seed9,4,2609,10,2610,2613,14
q_lin_seed10,5,1088,10,4130,1093,15
q_lin_seed3,5,1854,7,3367,1859,12
q_lin_seed4,5,3330,7,1891,3335,12
q_lin_seed5,4,702,7,4520,706,11
q_lin_seed6,5,1113,8,4107,1118,13
q_lin_seed7,3,2511,7,2712,2514,10
q_lin_seed8,5,2635,6,2587,2640,11
q_lin_seed9,6,800,8,4419,806,14
